Game,Console Name,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Silent Hills,PS4,2020.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0
Primal Carnage: Genesis,PS4,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
Rocketbirds 2: Evolution,PS4,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
Gran Turismo 7,PS4,2020.0,Racing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0
Final Fantasy (PS4),PS4,2020.0,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0
Atelier Sophie,PS4,2020.0,Role-Playing,Gust,0.0,0.0,0.0,0.0,0.0
Whore of the Orient,PS4,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
deep down (Working Title),PS4,2020.0,Misc,Capcom,0.0,0.0,0.0,0.0,0.0
EverQuest Next,PS4,2019.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0
Wild,PS4,2019.0,Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
Final Fantasy VII Remake,PS4,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
Airship Q,PS4,2019.0,Platform,Cygames,0.0,0.0,0.0,0.0,0.0
Days Gone,PS4,2019.0,Action-Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
The Last of Us: Part II,PS4,2019.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
Ace Combat 7: Skies Unknown,PS4,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
Metro Exodus,PS4,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0
Anthem,PS4,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0
Brothers in Arms: Furious 4,PS4,2019.0,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0
