Game,Console Name,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Killer Instinct,XboxOne,2020.0,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
Whore of the Orient,XboxOne,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
Halo 6,XboxOne,2020.0,Shooter,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
Black Tusk Studios Game,XboxOne,2020.0,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
Code Vein,XboxOne,2019.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
Metro Exodus,XboxOne,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0
Brothers in Arms: Furious 4,XboxOne,2019.0,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0
Kingdom Hearts III,XboxOne,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
Fable Legends,XboxOne,2019.0,Role-Playing,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
Ace Combat 7: Skies Unknown,XboxOne,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
Crackdown 3,XboxOne,2019.0,Action,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
Anthem,XboxOne,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0
Biomutant,XboxOne,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
EA Sports UFC 3,XboxOne,2018.0,Sports,EA Sports,0.3,0.1,0.0,0.04,0.44
Pure Farming 2018,XboxOne,2018.0,Simulation,Techland,0.03,0.0,0.0,0.0,0.03
Don't Starve,XboxOne,2018.0,Adventure,505 Games,0.04,0.0,0.0,0.0,0.04
Extinction,XboxOne,2018.0,Action,Maximum Games,0.04,0.0,0.0,0.01,0.05
Monster Hunter: World,XboxOne,2018.0,Action,Capcom,0.67,0.17,0.0,0.09,0.93
Metal Gear Survive,XboxOne,2018.0,Action,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08
Monster Energy Supercross - The Official Videogame,XboxOne,2018.0,Racing,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08
The Crew 2,XboxOne,2018.0,Racing,Ubisoft,0.2,0.1,0.0,0.03,0.33
Attack on Titan 2,XboxOne,2018.0,Action,Koei Tecmo,0.08,0.0,0.0,0.01,0.09
A Way Out,XboxOne,2018.0,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24
Darksiders III,XboxOne,2018.0,Action,THQ Nordic,0.11,0.0,0.0,0.01,0.12
Kingdom Come: Deliverance,XboxOne,2018.0,Role-Playing,Deep Silver,0.14,0.06,0.0,0.02,0.22
Naruto to Boruto: Shinobi Striker,XboxOne,2018.0,Action,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19
Dragon Ball Fighter Z,XboxOne,2018.0,Fighting,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52
Shaq-Fu: A Legend Reborn,XboxOne,2018.0,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02
We Happy Few,XboxOne,2018.0,Action-Adventure,Gearbox Software,0.07,0.01,0.0,0.01,0.09
Sword Art Online: Fatal Bullet,XboxOne,2018.0,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1
Vampyr,XboxOne,2018.0,Role-Playing,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12
Far Cry 5,XboxOne,2018.0,Action,Ubisoft,1.14,0.47,0.0,0.17,1.78
Sea of Thieves,XboxOne,2018.0,Action-Adventure,Microsoft Studios,0.6,0.27,0.0,0.09,0.96
Biomutant,XboxOne,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
Moons Of Madness,XboxOne,2018.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0
Red Dead Redemption 2,XboxOne,2018.0,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77
Iron Harvest,XboxOne,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0
Le Tour de France 2017,XboxOne,2017.0,Simulation,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02
Ultimate Marvel vs. Capcom 3,XboxOne,2017.0,Fighting,Capcom,0.12,0.0,0.0,0.01,0.14
The Elder Scrolls Online: Morrowind,XboxOne,2017.0,MMO,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14
Outlast Trinity,XboxOne,2017.0,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.13
Sonic Mania,XboxOne,2017.0,Platform,Sega,0.09,0.03,0.0,0.01,0.13
Dead by Daylight,XboxOne,2017.0,Action,505 Games,0.08,0.03,0.0,0.01,0.12
AereA,XboxOne,2017.0,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0
World to the West,XboxOne,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0
The Walking Dead - The Telltale Series: A New Frontier,XboxOne,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12
NASCAR Heat 2,XboxOne,2017.0,Racing,505 Games,0.11,0.0,0.0,0.01,0.12
Wolfenstein The Two Pack,XboxOne,2017.0,Shooter,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12
The Surge,XboxOne,2017.0,Action,Koch Media,0.07,0.04,0.0,0.01,0.12
Pro Evolution Soccer 2018,XboxOne,2017.0,Sports,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12
Naruto Shippuden: Ultimate Ninja Storm Legacy,XboxOne,2017.0,Fighting,Namco Bandai Games,0.11,0.02,0.0,0.01,0.14
Agents of Mayhem,XboxOne,2017.0,Action,Deep Silver,0.07,0.03,0.0,0.01,0.11
Cross Reverie,XboxOne,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0
Yooka-Laylee,XboxOne,2017.0,Platform,Sold Out,0.05,0.04,0.0,0.01,0.1
Real Farm,XboxOne,2017.0,Simulation,Soedesco,0.08,0.0,0.0,0.01,0.1
Dead Island 2,XboxOne,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0
Industry Giant II,XboxOne,2017.0,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
MXGP 3: The Official Motocross Videogame,XboxOne,2017.0,Racing,Milestone,0.06,0.02,0.0,0.01,0.09
Valhalla Hills,XboxOne,2017.0,Strategy,Kalypso Media,0.0,0.0,0.0,0.0,0.0
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,XboxOne,2017.0,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08
Elite: Dangerous,XboxOne,2017.0,Simulation,Frontier Developments,0.07,0.0,0.0,0.01,0.08
Bulletstorm: Full Clip Edition,XboxOne,2017.0,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08
Micro Machines: World Series,XboxOne,2017.0,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08
Dishonored: Death of the Outsider,XboxOne,2017.0,Action,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
The Escapists 2,XboxOne,2017.0,Action,Sold Out,0.05,0.08,0.0,0.01,0.15
Spintires: MudRunner,XboxOne,2017.0,Simulation,Focus Home Interactive,0.11,0.02,0.0,0.01,0.15
Constructor HD,XboxOne,2017.0,Strategy,System 3,0.07,0.0,0.0,0.01,0.07
Marvel vs. Capcom: Infinite,XboxOne,2017.0,Fighting,Capcom,0.26,0.05,0.0,0.03,0.34
The Lego Ninjago Movie Videogame,XboxOne,2017.0,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33
Outcast: Second Contact,XboxOne,2017.0,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
Hitman (2016),XboxOne,2017.0,Action,Square Enix,0.2,0.08,0.0,0.03,0.31
LEGO City Undercover,XboxOne,2017.0,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3
Sniper Elite 4,XboxOne,2017.0,Shooter,Rebellion Developments,0.18,0.09,0.0,0.03,0.3
Sonic Forces,XboxOne,2017.0,Platform,Sega,0.15,0.11,0.0,0.03,0.29
Minecraft: Story Mode - Season Two,XboxOne,2017.0,Adventure,Telltale Games,0.17,0.08,0.0,0.02,0.27
Friday the 13th: The Game,XboxOne,2017.0,Action,Gun Media,0.21,0.03,0.0,0.03,0.27
L.A. Noire,XboxOne,2017.0,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25
Call of Duty: Modern Warfare Remastered,XboxOne,2017.0,Shooter,Activision,0.16,0.06,0.0,0.02,0.24
de Blob,XboxOne,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0
DiRT 4,XboxOne,2017.0,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23
Super Lucky's Tale,XboxOne,2017.0,Platform,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
Just Dance 2018,XboxOne,2017.0,Music,Ubisoft,0.15,0.04,0.0,0.02,0.21
NBA Live 18,XboxOne,2017.0,Sports,EA Sports,0.18,0.0,0.0,0.02,0.21
theHunter: Call of the Wild,XboxOne,2017.0,Shooter,Astragon,0.18,0.0,0.0,0.02,0.21
Project CARS 2,XboxOne,2017.0,Racing,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
F1 2017,XboxOne,2017.0,Racing,Koch Media,0.04,0.13,0.0,0.01,0.19
Cities: Skylines,XboxOne,2017.0,Simulation,Deep Silver,0.13,0.03,0.0,0.02,0.18
